ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text
0	WALLACE	0	0	0	0	0	0	0	0	0	0	Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas.
1	WALLACE	0	0	0	0	0	0	0	0	0	0	I'm Chris Wallace of Fox News, and I welcome you to the third and final of the 2016 presidential debates between Secretary of State Hillary Clinton and Donald J. Trump.
2	WALLACE	0	0	0	0	0	0	0	0	0	0	This debate is sponsored by the Commission on Presidential Debates.
3	WALLACE	0	0	0	0	0	0	0	0	0	0	The commission has designed the format: Six roughly 15-minute segments with two-minute answers to the first question, then open discussion for the rest of each segment.
4	WALLACE	0	0	0	0	0	0	0	0	0	0	Both campaigns have agreed to those rules.
5	WALLACE	0	0	0	0	0	0	0	0	0	0	For the record, I decided the topics and the questions in each topic.
6	WALLACE	0	0	0	0	0	0	0	0	0	0	None of those questions has been shared with the commission or the two candidates.
7	WALLACE	0	0	0	0	0	0	0	0	0	0	The audience here in the hall has promised to remain silent.
8	WALLACE	0	0	0	0	0	0	0	0	0	0	No cheers, boos, or other interruptions so we and you can focus on what the candidates have to say.
9	WALLACE	0	0	0	0	0	0	0	0	0	0	No noise, except right now, as we welcome the Democratic nominee for president, Secretary Clinton, and the Republican nominee for president, Mr. Trump.
10	SYSTEM	0	0	0	0	0	0	0	0	0	0	(APPLAUSE)
11	WALLACE	0	0	0	0	0	0	0	0	0	0	Secretary Clinton, Mr. Trump, welcome.
12	WALLACE	0	0	0	0	0	0	0	0	0	0	Let's get right to it.
13	WALLACE	0	0	0	0	0	0	0	0	0	0	The first topic is the Supreme Court.
14	WALLACE	0	0	0	0	0	0	0	0	0	0	You both talked briefly about the court in the last debate, but I want to drill down on this, because the next president will almost certainly have at least one appointment and likely or possibly two or three appointments.
15	WALLACE	0	0	0	0	0	0	0	0	0	0	Which means that you will, in effect, determine the balance of the court for what could be the next quarter century.
16	WALLACE	0	0	0	0	0	0	0	0	0	0	First of all, where do you want to see the court take the country?
17	WALLACE	0	0	0	0	0	0	0	0	0	0	And secondly, what's your view on how the Constitution should be interpreted?
18	WALLACE	0	0	0	0	0	0	0	0	0	0	Do the founders' words mean what they say or is it a living document to be applied flexibly according to changing circumstances?
19	WALLACE	0	0	0	0	0	0	0	0	0	0	In this segment, Secretary Clinton, you go first.
20	WALLACE	0	0	0	0	0	0	0	0	0	0	You have two minutes.
21	CLINTON	0	0	0	0	0	0	0	0	0	0	Thank you very much, Chris.
22	CLINTON	0	0	0	0	0	0	0	0	0	0	And thanks to UNLV for hosting us.
23	CLINTON	0	0	0	0	0	0	0	0	0	0	You know, I think when we talk about the Supreme Court, it really raises the central issue in this election, namely, what kind of country are we going to be?
24	CLINTON	0	0	0	0	0	0	0	0	0	0	What kind of opportunities will we provide for our citizens?
25	CLINTON	0	0	0	0	0	0	0	0	0	0	What kind of rights will Americans have?
26	CLINTON	0	0	0	0	0	0	0	0	0	0	And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy.
27	CLINTON	2	0	0	0	0	1	0	0	1	0	For me, that means that we need a Supreme Court that will stand up on behalf of women's rights, on behalf of the rights of the LGBT community, that will stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come into our electoral system.
28	CLINTON	0	0	0	0	0	0	0	0	0	0	I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.
29	CLINTON	0	0	0	0	0	0	0	0	0	0	But I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v. Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us.
30	CLINTON	0	0	0	0	0	0	0	0	0	0	That's how I see the court, and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up to the powerful, standing up on behalf of our rights as Americans.
31	CLINTON	0	0	0	0	0	0	0	0	0	0	And I look forward to having that opportunity.
32	CLINTON	0	0	0	0	0	0	0	0	0	0	I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them.
33	CLINTON	0	0	0	0	0	0	0	0	0	0	That's the way the Constitution fundamentally should operate.
34	CLINTON	0	0	0	0	0	0	0	0	0	0	The president nominates, and then the Senate advises and consents, or not, but they go forward with the process.
35	WALLACE	0	0	0	0	0	0	0	0	0	0	Secretary Clinton, thank you.
36	WALLACE	0	0	0	0	0	0	0	0	0	0	Mr. Trump, same question.
37	WALLACE	0	0	0	0	0	0	0	0	0	0	Where do you want to see the court take the country?
38	WALLACE	0	0	0	0	0	0	0	0	0	0	And how do you believe the Constitution should be interpreted?
39	TRUMP	0	0	0	0	0	0	0	0	0	0	Well, first of all, it's great to be with you, and thank you, everybody.
40	TRUMP	0	0	0	0	0	0	0	0	0	0	The Supreme Court: It's what it's all about.
41	TRUMP	0	0	0	0	0	0	0	0	0	0	Our country is so, so -- it's just so imperative that we have the right justices.
42	TRUMP	3	0	0	1	1	1	0	0	0	0	Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent.
43	TRUMP	3	0	0	1	0	1	0	0	1	0	And she was forced to apologize.
44	TRUMP	2	0	0	1	0	1	0	0	0	0	And apologize she did.
45	TRUMP	1	0	0	0	0	1	0	0	0	0	But these were statements that should never, ever have been made.
46	TRUMP	0	0	0	0	0	0	0	0	0	0	We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege.
47	TRUMP	3	0	0	0	0	1	1	1	0	0	I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica of what it is right now.
