Debate	ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text

Chunk #0:
04_10_2016	82	PENCE	2	1	0	0	0	1	0	0	0	0	At a time when literally, in the wake of Hillary Clinton's tenure as secretary of state, where she was the architect of the Obama administration's foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control.
04_10_2016	83	PENCE	1	1	0	0	0	0	0	0	0	0	I mean, the situation we're watching hour by hour in Syria today is the result of the failed foreign policy and the weak foreign policy that Hillary Clinton helped lead in this administration and create.
04_10_2016	84	PENCE	1	1	0	0	0	0	0	0	0	0	The newly emboldened -- the aggression of Russia, whether it was in Ukraine or now they're heavy-handed approach...
04_10_2016	85	KAINE	1	0	0	1	0	0	0	0	0	0	You guys love Russia.

Chunk #1:
04_10_2016	115	PENCE	1	0	1	0	0	0	0	0	0	0	I mean, the reality is, when she was secretary of state, Senator, come on.
04_10_2016	116	PENCE	2	0	1	0	0	0	1	0	0	0	She had a Clinton Foundation accepting contributions from foreign governments.

Chunk #2:
04_10_2016	145	KAINE	1	0	0	0	0	0	0	0	0	1	She worked to deal with the Russians to reduce their chemical weapons stockpile.
04_10_2016	146	KAINE	6	0	1	0	0	1	1	1	1	1	She worked a tough negotiation with nations around the world to eliminate the Iranian nuclear weapons program without firing a shot.
04_10_2016	147	PENCE	3	0	1	0	0	0	0	1	1	0	Eliminate the Iranian nuclear weapons program?
04_10_2016	148	KAINE	3	0	1	0	0	0	0	1	1	0	Absolutely, without firing a shot.
04_10_2016	149	KAINE	1	0	1	0	0	0	0	0	0	0	And instead of 175,000 American troops deployed overseas, we now have 15,000.

Chunk #3:
04_10_2016	162	PENCE	2	0	1	1	0	0	0	0	0	0	... and overrun vast areas of Iraq.
04_10_2016	163	KAINE	2	0	0	0	0	1	0	0	0	1	Governor, President Bush said we would leave Iraq at the end of 2011.
04_10_2016	164	KAINE	2	0	0	0	0	1	0	0	0	1	And, Elaine, Iraq didn't want our troops to stay, and they wouldn't give us the protection for our troops.
04_10_2016	165	KAINE	2	0	0	0	0	1	0	0	0	1	And guess what?
04_10_2016	166	KAINE	2	0	0	0	0	1	0	0	0	1	If a nation where our troops are serving does not want us to stay, we're not going to stay without their protection.
04_10_2016	167	PENCE	3	0	0	0	0	0	0	1	1	1	It was a failure of the secretary of state...

Chunk #4:
04_10_2016	180	PENCE	2	1	0	0	0	0	0	0	0	1	The state of Indiana has balanced budgets.
04_10_2016	181	PENCE	1	0	0	0	0	0	0	0	0	1	We cut taxes, we've made record investments in education and in infrastructure, and I still finish my term with $2 billion in the bank.

Chunk #5:
04_10_2016	185	PENCE	2	0	0	0	0	1	0	0	0	1	In the state of Indiana, we've cut unemployment in half; unemployment doubled when he was governor.
04_10_2016	186	PENCE	1	1	0	0	0	0	0	0	0	0	But I think he's a very fitting running mate for Hillary Clinton, because in the wake of a season where American families are struggling in this economy under the weight of higher taxes and Obamacare and the war on coal and the stifling avalanche of regulation coming out of this administration, Hillary Clinton and Tim Kaine want more of the same.

Chunk #6:
04_10_2016	189	PENCE	3	1	0	0	0	1	0	0	1	0	But a trillion dollars in tax increases, more regulation, more of the same war on coal, and more of Obamacare that now even former President Bill Clinton calls Obamacare a crazy plan.
04_10_2016	190	PENCE	2	1	0	0	0	0	1	0	0	0	But Hillary Clinton and Tim Kaine want to build on Obamacare.
04_10_2016	191	PENCE	3	1	0	0	1	0	1	0	0	0	They want to expand it into a single-payer program.
04_10_2016	192	PENCE	1	1	0	0	0	0	0	0	0	0	And for all the world, Hillary Clinton just thinks Obamacare is a good start.
04_10_2016	193	PENCE	2	0	0	0	0	1	0	0	1	0	Look, Donald Trump and I have a plan to get this economy moving again just the way that it worked in the 1980s, just the way it worked in the 1960s, and that is by lowering taxes across the board for working families, small businesses and family farms, ending the war on coal that is hurting jobs and hurting this economy even here in Virginia, repealing Obamacare lock, stock, and barrel, and repealing all of the executive orders that Barack Obama has signed that are stifling economic growth in this economy.

Chunk #7:
04_10_2016	211	KAINE	1	0	1	0	0	0	0	0	0	0	The Trump plan is a different plan.
04_10_2016	212	KAINE	1	0	1	0	0	0	0	0	0	0	It's a "you're fired" plan.
04_10_2016	213	KAINE	1	0	1	0	0	0	0	0	0	0	And there's two key elements to it.
04_10_2016	214	KAINE	4	0	1	0	0	1	1	0	0	1	First, Donald Trump said wages are too high.
04_10_2016	215	KAINE	3	0	1	1	0	0	1	0	0	0	And both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.
04_10_2016	216	KAINE	1	0	1	0	0	0	0	0	0	0	Mike Pence, when he was in Congress, voted against raising the minimum wage above $5.15.
04_10_2016	217	KAINE	1	0	1	0	0	0	0	0	0	0	And he has been a one-man bulwark against minimum wage increases in Indiana.
04_10_2016	218	KAINE	1	0	0	0	0	1	0	0	0	0	The second component of the plan is massive tax breaks for the very top, trillions of dollars of tax breaks for people just like Donald Trump.
